# results/trace_hf_decode.json.gz, step 2 of 5, segmented on annotation
# 1198 kernels, 1198 CPU launches, 15.302 ms device busy
# gap us = device idle before this event. s = * when the CPU had not yet issued the launch.
    #  launch us     gpu us   wait us    dur us   gap us s  aten op                    kernel
---------------------------------------------------------------------------------------------
    0      135.5     1356.2   1203.74      3.68     0.00    embedding/index_select     indexSelectSmallIndex<2,2>
  262    15982.5    16095.5    105.37      3.55     1.09    linear/mm                  splitKreduce_kernel<32,16,false,true,false,false>
  263    16031.3    16100.2     56.21      2.62     1.15    add                        vectorized_elementwise_kernel<4>
  264    16112.0    16127.2      0.91      4.06    24.32 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  265    16161.0    16173.7      1.05      2.02    42.46 *  pow                        vectorized_elementwise_kernel<4,1>
  266    16204.2    16217.1      0.79      4.70    41.34 *  mean                       reduce_kernel<512,1>
  267    16252.2    16265.3      0.90      2.08    43.49 *  add                        vectorized_elementwise_kernel<4>
  268    16288.0    16299.7      0.90      2.24    32.38 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  269    16325.2    16337.4      0.99      2.75    35.39 *  mul                        elementwise_kernel<128,2>
  270    16381.4    16394.5      0.62      1.95    54.43 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  271    16421.0    16433.0      0.86      2.21    36.51 *  mul                        vectorized_elementwise_kernel<4>
  272    16520.1    16535.1      0.55     20.00    99.87 *  linear/addmm               gemv2T_kernel_val<128,16,4,4,false,true>
  273    16627.8    16642.7      0.87      8.16    87.65 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  274    16730.5    16744.7      0.63      8.00    93.82 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  275    16810.7    16824.5      0.57      3.97    71.84 *  mul                        elementwise_kernel<128,4>
  276    16882.9    16896.3      0.84      3.74    67.77 *  neg                        elementwise_kernel<128,4>
  277    16927.2    16940.6      0.95      5.31    40.54 *  cat                        CatArrayBatchedCopy<4,64,64>
  278    16968.5    16980.9      0.90      3.42    35.04 *  mul                        elementwise_kernel<128,4>
  279    17005.2    17017.4      0.85      2.05    33.06 *  add                        vectorized_elementwise_kernel<4>
  280    17042.2    17054.1      1.00      2.69    34.65 *  mul                        elementwise_kernel<128,4>
  281    17106.3    17119.6      0.91      2.34    62.85 *  neg                        elementwise_kernel<128,4>
  282    17148.2    17166.4      0.80      3.46    44.38 *  cat                        CatArrayBatchedCopy<4,64,64>
  283    17194.7    17206.9      0.76      2.69    37.12 *  mul                        elementwise_kernel<128,4>
  284    17230.7    17242.5      0.78      2.02    32.83 *  add                        vectorized_elementwise_kernel<4>
  285    17280.2    17293.7      0.87      3.94    49.21 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  286    17323.2    17336.1      1.26      3.71    38.43 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  287    17480.0    17494.4      0.47     15.17   154.62 *  scaled_dot_product_attenti flash_fwd_splitkv_kernel<128,64,128,4,false,false>
  288    17496.4    17510.6      7.10      6.27     1.09    scaled_dot_product_attenti flash_fwd_splitkv_combine_kernel<4,3,true>
  289    17630.2    17645.8      0.83     21.60   128.83 *  linear/mm                  gemv2T_kernel_val<128,16,2,4,false,false>
  290    17689.8    17703.4      0.65      2.66    36.06 *  add                        vectorized_elementwise_kernel<4>
  291    17756.0    17770.6      0.53      4.22    64.57 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  292    17804.9    17817.4      0.85      2.02    42.53 *  pow                        vectorized_elementwise_kernel<4,1>
  293    17848.5    17861.7      1.08      4.90    42.24 *  mean                       reduce_kernel<512,1>
  294    17897.3    17910.3      0.90      2.05    43.74 *  add                        vectorized_elementwise_kernel<4>
  295    17933.1    17945.2      0.84      2.24    32.83 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  296    17970.7    17982.9      0.81      2.88    35.46 *  mul                        elementwise_kernel<128,2>
  297    18027.6    18040.8      0.68      1.95    55.01 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  298    18066.8    18078.9      0.93      2.30    36.22 *  mul                        vectorized_elementwise_kernel<4>
  299    18155.9    18170.5      0.51     98.69    89.28 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  300    18213.6    18270.3     43.71      3.55     1.09    silu                       vectorized_elementwise_kernel<4,1,5,1>
  301    18292.5    18306.6      0.65     97.73    32.80 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  302    18342.0    18405.5     50.63      2.94     1.09    mul                        vectorized_elementwise_kernel<4>
  303    18427.4    18440.5      1.01    114.08    32.06 *  linear/mm                  cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2
  304    18441.0    18555.8    107.11      3.49     1.22    linear/mm                  splitKreduce_kernel<32,16,false,true,false,false>
  305    18489.8    18560.6     58.01      2.59     1.38    add                        vectorized_elementwise_kernel<4>
  306    18570.6    18585.7      1.08      4.13    22.46 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  307    18619.4    18632.0      0.94      1.98    42.24 *  pow                        vectorized_elementwise_kernel<4,1>
  308    18662.4    18675.2      0.82      4.64    41.18 *  mean                       reduce_kernel<512,1>
  309    18710.2    18723.3      0.92      2.05    43.49 *  add                        vectorized_elementwise_kernel<4>
  310    18746.2    18757.9      0.59      2.21    32.48 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  311    18782.8    18794.9      0.81      2.75    34.85 *  mul                        elementwise_kernel<128,2>
  312    18838.7    18852.1      0.70      1.98    54.43 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  313    18878.1    18890.4      1.08      2.17    36.29 *  mul                        vectorized_elementwise_kernel<4>
  314    18976.6    18991.5      0.69     20.32    98.94 *  linear/addmm               gemv2T_kernel_val<128,16,4,4,false,true>
  315    19083.2    19098.2      0.85      8.03    86.40 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  316    19186.5    19200.5      0.71      7.97    94.27 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  317    19266.2    19280.3      0.74      3.97    71.84 *  mul                        elementwise_kernel<128,4>
  318    19337.9    19351.2      0.90      3.74    66.91 *  neg                        elementwise_kernel<128,4>
  319    19381.4    19394.7      1.01      5.25    39.74 *  cat                        CatArrayBatchedCopy<4,64,64>
  320    19422.6    19434.6      0.85      3.46    34.69 *  mul                        elementwise_kernel<128,4>
  321    19459.6    19471.7      1.08      2.08    33.66 *  add                        vectorized_elementwise_kernel<4>
  322    19496.7    19508.4      0.96      2.66    34.56 *  mul                        elementwise_kernel<128,4>
  323    19560.5    19573.8      0.88      2.34    62.82 *  neg                        elementwise_kernel<128,4>
  324    19602.2    19614.8      0.88      3.49    38.59 *  cat                        CatArrayBatchedCopy<4,64,64>
  325    19641.0    19658.2      1.04      2.66    39.93 *  mul                        elementwise_kernel<128,4>
  326    19683.5    19695.4      0.87      2.02    34.59 *  add                        vectorized_elementwise_kernel<4>
  327    19733.3    19746.8      0.92      4.06    49.38 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  328    19776.2    19788.9      0.94      3.74    37.95 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  329    19926.3    19940.8      0.69     15.10   148.19 *  scaled_dot_product_attenti flash_fwd_splitkv_kernel<128,64,128,4,false,false>
  330    19942.4    19957.1      7.17      6.24     1.18    scaled_dot_product_attenti flash_fwd_splitkv_combine_kernel<4,3,true>
  331    20076.8    20092.1      0.53     21.63   128.77 *  linear/mm                  gemv2T_kernel_val<128,16,2,4,false,false>
  332    20136.6    20150.0      0.83      2.46    36.29 *  add                        vectorized_elementwise_kernel<4>
  333    20202.9    20217.7      0.78      4.25    65.25 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  334    20251.6    20264.1      0.92      1.95    42.18 *  pow                        vectorized_elementwise_kernel<4,1>
  335    20295.0    20307.8      0.85      4.90    41.73 *  mean                       reduce_kernel<512,1>
  336    20343.4    20356.5      0.62      2.05    43.81 *  add                        vectorized_elementwise_kernel<4>
  337    20379.9    20391.9      0.83      2.21    33.38 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  338    20416.7    20428.9      0.83      2.88    34.72 *  mul                        elementwise_kernel<128,2>
  339    20472.8    20486.0      0.74      1.98    54.24 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  340    20512.3    20524.5      1.02      2.34    36.54 *  mul                        vectorized_elementwise_kernel<4>
  341    20601.2    20616.2      0.77     97.63    89.31 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  342    20659.1    20714.8     42.80      3.58     1.02    silu                       vectorized_elementwise_kernel<4,1,5,1>
  343    20738.3    20752.9      1.05     99.17    34.53 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  344    20787.0    20853.3     53.62      2.91     1.18    mul                        vectorized_elementwise_kernel<4>
  345    20871.6    20885.3      1.20    112.83    29.09 *  linear/mm                  cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2
  346    20885.7    20999.3    105.66      3.55     1.18    linear/mm                  splitKreduce_kernel<32,16,false,true,false,false>
  347    20934.5    21004.0     56.84      2.62     1.15    add                        vectorized_elementwise_kernel<4>
  348    21015.1    21030.2      0.96      4.13    23.55 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  349    21064.0    21076.9      0.99      1.98    42.62 *  pow                        vectorized_elementwise_kernel<4,1>
  350    21107.6    21120.4      0.94      4.67    41.50 *  mean                       reduce_kernel<512,1>
  351    21155.6    21168.8      0.81      2.02    43.68 *  add                        vectorized_elementwise_kernel<4>
  352    21191.9    21203.9      0.90      2.21    33.15 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  353    21229.0    21241.4      1.00      2.72    35.26 *  mul                        elementwise_kernel<128,2>
  354    21285.8    21298.9      0.80      1.95    54.81 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  355    21324.7    21336.6      0.88      2.21    35.74 *  mul                        vectorized_elementwise_kernel<4>
  356    21431.3    21446.6      0.64     20.06   107.74 *  linear/addmm               gemv2T_kernel_val<128,16,4,4,false,true>
  357    21539.3    21554.0      0.88      8.10    87.39 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  358    21641.9    21656.1      0.73      7.81    94.02 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  359    21722.6    21736.6      0.38      3.97    72.67 *  mul                        elementwise_kernel<128,4>
  360    21795.5    21808.8      0.79      3.74    68.16 *  neg                        elementwise_kernel<128,4>
  361    21840.0    21853.5      0.97      5.31    40.96 *  cat                        CatArrayBatchedCopy<4,64,64>
  362    21881.7    21893.9      0.76      3.42    35.17 *  mul                        elementwise_kernel<128,4>
  363    21919.1    21931.0      0.83      2.05    33.63 *  add                        vectorized_elementwise_kernel<4>
  364    21956.0    21967.8      1.01      2.69    34.75 *  mul                        elementwise_kernel<128,4>
  365    22020.4    22034.0      1.09      2.34    63.49 *  neg                        elementwise_kernel<128,4>
  366    22062.3    22075.1      0.98      3.46    38.85 *  cat                        CatArrayBatchedCopy<4,64,64>
  367    22101.4    22113.4      0.85      2.66    34.78 *  mul                        elementwise_kernel<128,4>
  368    22136.7    22148.6      0.86      2.05    32.51 *  add                        vectorized_elementwise_kernel<4>
  369    22186.4    22200.1      0.97      3.97    49.50 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  370    22229.3    22241.9      1.16      3.68    37.86 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  371    22442.6    22457.0      0.45     15.14   211.42 *  scaled_dot_product_attenti flash_fwd_splitkv_kernel<128,64,128,4,false,false>
  372    22458.9    22473.3      7.25      6.27     1.09    scaled_dot_product_attenti flash_fwd_splitkv_combine_kernel<4,3,true>
  373    22593.3    22608.8      0.67     21.66   129.31 *  linear/mm                  gemv2T_kernel_val<128,16,2,4,false,false>
  374    22653.5    22666.9      0.67      2.34    36.35 *  add                        vectorized_elementwise_kernel<4>
  375    22720.7    22735.2      0.76      4.19    66.02 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  376    22769.1    22781.8      0.92      2.05    42.40 *  pow                        vectorized_elementwise_kernel<4,1>
  377    22812.3    22825.2      1.03      4.99    41.41 *  mean                       reduce_kernel<512,1>
  378    22860.8    22873.6      0.68      2.08    43.33 *  add                        vectorized_elementwise_kernel<4>
  379    22896.7    22908.5      0.78      2.27    32.90 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  380    22934.0    22946.3      0.87      2.82    35.45 *  mul                        elementwise_kernel<128,2>
  381    22990.3    23003.8      0.90      2.02    54.69 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  382    23029.7    23041.9      0.77      2.30    36.06 *  mul                        vectorized_elementwise_kernel<4>
  383    23118.9    23133.7      0.61     98.14    89.50 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  384    23176.8    23232.8     42.94      3.55     1.02    silu                       vectorized_elementwise_kernel<4,1,5,1>
  385    23256.7    23271.3      0.87     99.10    34.88 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  386    23305.8    23371.5     53.04      2.88     1.12    mul                        vectorized_elementwise_kernel<4>
  387    23390.2    23403.6      1.12    112.38    29.25 *  linear/mm                  cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2
  388    23404.1    23517.2    105.33      3.52     1.22    linear/mm                  splitKreduce_kernel<32,16,false,true,false,false>
  389    23453.0    23521.9     56.43      2.59     1.22    add                        vectorized_elementwise_kernel<4>
  390    23532.9    23548.0      0.95      4.10    23.42 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  391    23582.0    23594.5      0.84      2.02    42.50 *  pow                        vectorized_elementwise_kernel<4,1>
  392    23625.0    23637.9      0.90      4.67    41.38 *  mean                       reduce_kernel<512,1>
  393    23672.9    23686.1      0.86      2.02    43.52 *  add                        vectorized_elementwise_kernel<4>
  394    23709.2    23721.1      0.82      2.21    32.99 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  395    23746.1    23758.0      0.76      2.69    34.66 *  mul                        elementwise_kernel<128,2>
  396    23802.1    23815.2      0.75      1.98    54.56 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  397    23841.4    23853.7      1.02      2.18    36.48 *  mul                        vectorized_elementwise_kernel<4>
  398    23940.4    23955.4      0.54     19.90    99.49 *  linear/addmm               gemv2T_kernel_val<128,16,4,4,false,true>
  399    24046.9    24061.7      0.85      8.22    86.43 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  400    24148.9    24163.0      0.60      7.94    93.02 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  401    24228.7    24242.8      0.59      3.97    71.94 *  mul                        elementwise_kernel<128,4>
  402    24301.0    24314.1      0.72      3.78    67.33 *  neg                        elementwise_kernel<128,4>
  403    24344.9    24358.3      1.00      5.28    40.38 *  cat                        CatArrayBatchedCopy<4,64,64>
  404    24386.3    24398.5      0.82      3.46    34.91 *  mul                        elementwise_kernel<128,4>
  405    24423.7    24435.9      0.95      2.08    34.01 *  add                        vectorized_elementwise_kernel<4>
  406    24461.0    24472.8      0.71      2.69    34.78 *  mul                        elementwise_kernel<128,4>
  407    24525.5    24538.5      0.82      2.34    63.04 *  neg                        elementwise_kernel<128,4>
  408    24566.9    24579.6      0.99      3.42    38.72 *  cat                        CatArrayBatchedCopy<4,64,64>
  409    24605.7    24617.8      1.01      2.72    34.75 *  mul                        elementwise_kernel<128,4>
  410    24641.1    24652.6      0.44      2.05    32.10 *  add                        vectorized_elementwise_kernel<4>
  411    24690.2    24703.8      0.96      3.97    49.18 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  412    24733.5    24746.0      1.03      3.81    38.27 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  413    24888.6    24902.8      0.39     15.13   152.96 *  scaled_dot_product_attenti flash_fwd_splitkv_kernel<128,64,128,4,false,false>
  414    24904.7    24919.0      6.92      6.30     1.09    scaled_dot_product_attenti flash_fwd_splitkv_combine_kernel<4,3,true>
  415    25039.5    25054.8      0.57     21.54   129.47 *  linear/mm                  gemv2T_kernel_val<128,16,2,4,false,false>
  416    25099.5    25113.2      0.77      2.50    36.83 *  add                        vectorized_elementwise_kernel<4>
  417    25166.9    25181.2      0.79      4.38    65.53 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  418    25215.0    25227.7      0.79      1.98    42.14 *  pow                        vectorized_elementwise_kernel<4,1>
  419    25258.7    25271.6      0.73      4.89    41.86 *  mean                       reduce_kernel<512,1>
  420    25307.3    25320.4      0.83      2.08    43.97 *  add                        vectorized_elementwise_kernel<4>
  421    25343.5    25355.4      0.96      2.27    32.93 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  422    25380.7    25412.1      0.30      2.85    54.37 *  mul                        elementwise_kernel<128,2>
  423    25461.2    25474.7      0.56      2.02    59.81 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  424    25503.2    25516.1      0.91      2.27    39.39 *  mul                        vectorized_elementwise_kernel<4>
  425    25597.7    25613.0      0.53     97.50    94.56 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  426    25657.9    25711.7     40.11      3.52     1.22    silu                       vectorized_elementwise_kernel<4,1,5,1>
  427    25750.8    25765.6      0.87     97.79    50.33 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  428    25800.3    25864.4     51.33      2.98     1.09    mul                        vectorized_elementwise_kernel<4>
  429    25884.9    25898.6      1.28    112.54    31.20 *  linear/mm                  cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2
  430    25898.9    26012.3    105.74      3.55     1.12    linear/mm                  splitKreduce_kernel<32,16,false,true,false,false>
  431    25947.2    26017.0     57.11      2.62     1.15    add                        vectorized_elementwise_kernel<4>
  432    26028.9    26044.0      1.05      4.06    24.45 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  433    26077.9    26090.9      1.07      2.02    42.75 *  pow                        vectorized_elementwise_kernel<4,1>
  434    26121.4    26134.4      0.93      4.64    41.57 *  mean                       reduce_kernel<512,1>
  435    26169.4    26182.4      0.74      2.08    43.30 *  add                        vectorized_elementwise_kernel<4>
  436    26205.7    26217.5      0.88      2.21    33.09 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  437    26242.6    26254.9      1.14      2.69    35.17 *  mul                        elementwise_kernel<128,2>
  438    26298.5    26311.6      0.69      1.95    54.01 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  439    26337.5    26349.5      0.73      2.21    35.94 *  mul                        vectorized_elementwise_kernel<4>
  440    26436.7    26452.1      0.95     20.16   100.35 *  linear/addmm               gemv2T_kernel_val<128,16,4,4,false,true>
  441    26544.7    26559.5      0.85      8.16    87.26 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  442    26646.4    26660.6      0.74      7.87    92.96 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  443    26726.5    26740.4      0.27      3.94    71.90 *  mul                        elementwise_kernel<128,4>
  444    26798.3    26811.9      0.81      3.84    67.58 *  neg                        elementwise_kernel<128,4>
  445    26843.0    26856.4      0.96      5.34    40.67 *  cat                        CatArrayBatchedCopy<4,64,64>
  446    26884.2    26896.8      1.02      3.46    35.01 *  mul                        elementwise_kernel<128,4>
  447    26921.5    26933.4      0.71      2.08    33.15 *  add                        vectorized_elementwise_kernel<4>
  448    26958.6    26970.4      0.91      2.72    34.91 *  mul                        elementwise_kernel<128,4>
  449    27022.3    27035.7      1.10      2.30    62.62 *  neg                        elementwise_kernel<128,4>
  450    27064.2    27077.1      0.86      3.58    39.07 *  cat                        CatArrayBatchedCopy<4,64,64>
  451    27103.5    27115.7      0.94      2.69    35.04 *  mul                        elementwise_kernel<128,4>
  452    27139.2    27150.9      0.87      2.08    32.54 *  add                        vectorized_elementwise_kernel<4>
  453    27188.3    27202.2      0.91      3.97    49.22 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  454    27231.7    27244.2      1.04      3.68    38.05 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  455    27386.1    27400.1      0.50     15.10   152.19 *  scaled_dot_product_attenti flash_fwd_splitkv_kernel<128,64,128,4,false,false>
  456    27401.9    27416.4      7.63      6.24     1.15    scaled_dot_product_attenti flash_fwd_splitkv_combine_kernel<4,3,true>
  457    27536.1    27551.7      0.67     21.41   129.09 *  linear/mm                  gemv2T_kernel_val<128,16,2,4,false,false>
  458    27595.9    27609.4      0.89      2.30    36.32 *  add                        vectorized_elementwise_kernel<4>
  459    27662.3    27676.8      0.62      4.38    65.09 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  460    27711.2    27723.9      0.86      1.98    42.69 *  pow                        vectorized_elementwise_kernel<4,1>
  461    27755.1    27768.2      0.92      4.96    42.30 *  mean                       reduce_kernel<512,1>
  462    27803.5    27816.4      0.64      1.92    43.26 *  add                        vectorized_elementwise_kernel<4>
  463    27839.6    27851.7      0.62      2.11    33.38 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  464    27876.8    27889.1      0.81      2.88    35.26 *  mul                        elementwise_kernel<128,2>
  465    27933.3    27946.7      0.90      1.98    54.75 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  466    27972.4    27984.5      0.82      2.30    35.84 *  mul                        vectorized_elementwise_kernel<4>
  467    28061.8    28076.5      0.54     97.53    89.63 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  468    28119.9    28175.0     41.93      3.62     1.06    silu                       vectorized_elementwise_kernel<4,1,5,1>
  469    28200.0    28214.6      0.98     98.75    35.97 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  470    28249.1    28314.5     52.79      2.88     1.09    mul                        vectorized_elementwise_kernel<4>
  471    28333.5    28346.9      1.07    113.41    29.57 *  linear/mm                  cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2
  472    28347.5    28461.5    106.33      3.46     1.18    linear/mm                  splitKreduce_kernel<32,16,false,true,false,false>
  473    28396.4    28466.0     57.06      2.59     1.02    add                        vectorized_elementwise_kernel<4>
  474    28477.3    28494.8      0.78      4.13    26.24 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  475    28530.2    28543.0      0.81      2.02    44.03 *  pow                        vectorized_elementwise_kernel<4,1>
  476    28573.8    28586.6      0.82      4.64    41.57 *  mean                       reduce_kernel<512,1>
  477    28621.7    28634.7      0.99      2.02    43.49 *  add                        vectorized_elementwise_kernel<4>
  478    28657.2    28669.3      0.81      2.24    32.57 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  479    28693.7    28705.9      0.79      2.75    34.40 *  mul                        elementwise_kernel<128,2>
  480    28749.2    28762.3      0.72      1.98    53.60 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  481    28788.2    28800.5      1.10      2.21    36.26 *  mul                        vectorized_elementwise_kernel<4>
  482    28887.1    28902.0      0.62     20.00    99.33 *  linear/addmm               gemv2T_kernel_val<128,16,4,4,false,true>
  483    28994.7    29009.7      0.86      8.26    87.65 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  484    29097.7    29112.2      0.59      7.84    94.27 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  485    29178.5    29192.7      0.78      3.94    72.67 *  mul                        elementwise_kernel<128,4>
  486    29250.4    29263.6      0.80      3.74    66.98 *  neg                        elementwise_kernel<128,4>
  487    29294.3    29307.4      0.89      5.38    40.06 *  cat                        CatArrayBatchedCopy<4,64,64>
  488    29335.4    29347.7      0.87      3.42    34.85 *  mul                        elementwise_kernel<128,4>
  489    29372.4    29384.4     -6.72      2.05    33.28 *  add                        vectorized_elementwise_kernel<4>
  490    29420.9    29433.8      0.76      2.66    47.42 *  mul                        elementwise_kernel<128,4>
  491    29486.9    29500.1      0.78      2.34    63.58 *  neg                        elementwise_kernel<128,4>
  492    29528.7    29541.8      0.84      3.49    39.42 *  cat                        CatArrayBatchedCopy<4,64,64>
  493    29568.2    29580.4      1.12      2.69    35.10 *  mul                        elementwise_kernel<128,4>
  494    29603.5    29615.2      0.81      2.02    32.03 *  add                        vectorized_elementwise_kernel<4>
  495    29652.2    29666.0      0.87      4.03    48.86 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  496    29695.0    29707.7      0.96      3.71    37.66 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  497    29855.2    29869.7      0.78     15.07   158.24 *  scaled_dot_product_attenti flash_fwd_splitkv_kernel<128,64,128,4,false,false>
  498    29871.2    29885.8      7.43      6.27     1.09    scaled_dot_product_attenti flash_fwd_splitkv_combine_kernel<4,3,true>
  499    30066.8    30082.4      0.47     21.47   190.27 *  linear/mm                  gemv2T_kernel_val<128,16,2,4,false,false>
  500    30127.4    30141.0      0.98      2.30    37.18 *  add                        vectorized_elementwise_kernel<4>
  501    30194.2    30209.2      0.76      4.22    65.86 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  502    30243.3    30256.2      0.68      1.98    42.78 *  pow                        vectorized_elementwise_kernel<4,1>
  503    30287.7    30300.5      0.85      4.86    42.37 *  mean                       reduce_kernel<512,1>
  504    30336.2    30349.3      0.71      2.08    43.90 *  add                        vectorized_elementwise_kernel<4>
  505    30372.8    30384.9      0.74      2.30    33.50 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  506    30410.1    30422.5      0.99      2.66    35.33 *  mul                        elementwise_kernel<128,2>
  507    30466.8    30479.9      0.79      1.98    54.72 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  508    30506.1    30518.2      0.96      2.30    36.35 *  mul                        vectorized_elementwise_kernel<4>
  509    30595.3    30610.1      0.38     97.02    89.60 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  510    30653.5    30708.3     41.44      3.62     1.09    silu                       vectorized_elementwise_kernel<4,1,5,1>
  511    30733.1    30747.8      1.01     97.57    35.90 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  512    30782.0    30846.5     52.18      2.85     1.18    mul                        vectorized_elementwise_kernel<4>
  513    30866.9    30880.4      1.16    114.56    31.04 *  linear/mm                  cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2
  514    30880.9    30996.1    107.57      3.52     1.09    linear/mm                  splitKreduce_kernel<32,16,false,true,false,false>
  515    30929.4    31000.8     58.38      2.62     1.18    add                        vectorized_elementwise_kernel<4>
  516    31010.1    31025.5      1.19      4.13    22.08 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  517    31059.0    31071.8      0.89      2.02    42.24 *  pow                        vectorized_elementwise_kernel<4,1>
  518    31102.5    31115.1      0.82      4.70    41.28 *  mean                       reduce_kernel<512,1>
  519    31150.5    31163.5      0.91      2.05    43.65 *  add                        vectorized_elementwise_kernel<4>
  520    31186.2    31198.1      0.81      2.24    32.61 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  521    31223.4    31235.6      1.07      2.75    35.26 *  mul                        elementwise_kernel<128,2>
  522    31279.2    31292.3      0.68      1.98    53.95 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  523    31318.4    31330.5      0.73      2.18    36.19 *  mul                        vectorized_elementwise_kernel<4>
  524    31418.3    31433.4      0.65     20.26   100.73 *  linear/addmm               gemv2T_kernel_val<128,16,4,4,false,true>
  525    31525.8    31540.7      1.05      8.16    86.97 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
